id,name,is_potentially_hazardous,close_approach_date,diameter_min_km,diameter_max_km,relative_velocity_km_s,miss_distance_km
2517046,517046 (2013 AA53),False,2025-11-17,0.3285148278,0.7345814866,20.5754962573,55516801.168951735
3445543,(2009 CD),False,2025-11-17,0.0658498783,0.1472448042,17.5234709193,73842363.62870641
3552662,(2010 WA9),False,2025-11-17,0.0201629919,0.0450858206,21.7308536379,66886523.22570899
3620868,(2012 XF133),False,2025-11-17,0.096506147,0.2157943048,10.7711895848,17578201.196411874
3709924,(2015 CR),False,2025-11-17,0.058150704,0.130028927,18.773857837,48858327.25311953
3714590,(2015 FU284),False,2025-11-17,0.0058150704,0.0130028927,19.5174787243,32628200.31963627
3789721,(2017 WG16),False,2025-11-17,0.0725362295,0.1621959399,16.1520033214,74765839.65769713
3827162,(2018 RR),False,2025-11-17,0.0080270317,0.0179489885,5.9750931502,57919616.02214384
54266174,(2022 FG4),False,2025-11-17,0.0788052183,0.1762138252,22.2278604974,7149522.521318368
54406862,(2023 WC1),False,2025-11-17,0.0134448195,0.0300635304,10.1987304277,13382448.630732855
54553163,(2025 TK11),False,2025-11-17,0.038775283,0.0867041687,3.5582896135,13605695.461946378
54561143,(2025 VJ1),False,2025-11-17,0.019273251,0.0430962993,6.8386047556,9817944.473231286
3277704,(2005 JR5),False,2025-11-16,0.1010543415,0.2259643771,15.6095272926,58594706.659208156
3468431,(2009 SA100),False,2025-11-16,0.04411182,0.0986370281,8.2865047366,63608113.69994324
3745032,(2016 EH1),False,2025-11-16,0.0780827277,0.1745982871,9.8256831507,54167441.32176749
3892649,(2019 VX1),False,2025-11-16,0.1058168859,0.2366137501,16.6897648595,24257910.799166743
3893865,(2019 XS),False,2025-11-16,0.0453476699,0.1014004725,16.6608973315,30082670.68420158
54142541,(2021 HB3),False,2025-11-16,0.0291443905,0.0651688382,9.9142928767,59813770.606287666
54194339,(2021 RM5),False,2025-11-16,0.0133215567,0.0297879063,6.1470843844,23970831.8433659
54219789,(2021 VW11),False,2025-11-16,0.0211132445,0.0472106499,11.7297227649,15407843.780651102
54528330,(2025 HV18),False,2025-11-16,0.0532788665,0.1191351672,8.6312065506,19369184.487526167
54541500,(2025 QG3),False,2025-11-16,0.0832827346,0.1862258558,6.9227475743,14192976.78685466
54561140,(2025 VF1),False,2025-11-16,0.032565292,0.0728182066,7.205572996,10323084.659519117
54561365,(2025 VN1),False,2025-11-16,0.0140849392,0.0314948815,10.7308621315,1771139.761969847
54561651,(2025 VW3),False,2025-11-16,0.0075605776,0.0169059655,14.013237058,588500.158594322
3274691,(2005 FC),False,2025-11-22,0.0334622374,0.0748238376,11.8402695692,30935530.04096453
3736677,(2015 XA352),False,2025-11-22,0.1067959975,0.2388031102,8.0312430115,73694632.60548593
3774099,(2017 HX3),True,2025-11-22,0.1123453177,0.2512117673,14.5111852335,13419475.629456129
54087667,(2020 VF2),False,2025-11-22,0.0506471459,0.1132504611,13.6511518355,70854044.08986992
54100694,(2020 YT),False,2025-11-22,0.0210162379,0.0469937366,9.9999885177,7841456.756560657
54218583,(2021 VP8),False,2025-11-22,0.0146742183,0.0328125497,9.8771149494,17210060.630140074
54221205,(2021 VX22),False,2025-11-22,0.0023472264,0.0052485577,14.9598294245,64205891.09564668
54330039,(2022 WO7),False,2025-11-22,0.0325502986,0.0727846803,15.9514712713,72385031.66844754
54554706,(2025 US6),False,2025-11-22,0.0016709174,0.0037362848,0.256355538,382219.655651322
3063789,(2000 UR16),False,2025-11-21,0.04411182,0.0986370281,10.9895822727,46826163.29325675
3462097,(2009 KT21),False,2025-11-21,0.2821986791,0.6310154296,4.2049246419,60860148.95985411
3553169,(2010 XC15),True,2025-11-21,0.1344481952,0.3006353038,25.6612162793,72732607.1651283
3764824,(2016 WB8),False,2025-11-21,0.0175612318,0.0392681082,15.0766540793,34316201.09527319
3840727,(2019 FQ1),False,2025-11-21,0.0096506147,0.0215794305,11.0770686532,57207448.48050682
54329635,(2022 WO6),False,2025-11-21,0.0041740243,0.0093334022,12.5648192493,25850218.110823534
54358582,(2023 JK3),False,2025-11-21,0.0226232491,0.0505871228,13.5352308345,59626379.04848064
